"GCAM_region_ID","GCAM_commodity","year","HA_kHa_rainfed","Prod_kt_rainfed","HA_kHa_irrigated","Prod_kt_irrigated","HA_kHa","Prod_kt","Yield_tHa_rainfed","Yield_tHa_irrigated","Yield_tHa"
3,"SugarCrop",2030,1310,78748,507,36174,1818,114922,60.1129770992366,71.3491124260355,63.2134213421342
4,"SugarCrop",2030,28,1081,61,4569,89,5650,38.6071428571429,74.9016393442623,63.4831460674157
5,"SugarCrop",2030,227,20608,254,39760,481,60368,90.784140969163,156.535433070866,125.505197505198
6,"SugarCrop",2030,449,14581,140,5437,589,20018,32.4743875278396,38.8357142857143,33.9864176570458
7,"SugarCrop",2030,1467,82026,1186,91130,2652,173156,55.9141104294479,76.8381112984823,65.2926093514329
8,"SugarCrop",2030,0,0,311,15402,311,15402,NA,49.524115755627,49.524115755627
9,"SugarCrop",2030,1125,54324,1182,126803,2306,181127,48.288,107.278341793570,78.5459670424978
10,"SugarCrop",2030,7181,619451,3667,529432,10849,1148880,86.2624982592954,144.377420234524,105.897317725136
11,"SugarCrop",2030,563,31407,3675,303447,4238,334852,55.785079928952,82.570612244898,79.011798017933
12,"SugarCrop",2030,670,21583,11,534,681,22117,32.2134328358209,48.5454545454545,32.4772393538913
13,"SugarCrop",2030,0,0,0,0,0,0,NA,NA,NA
